heuristic,method,seed,solved,total_puzzles,success_rate,time_limit_failures,node_limit_failures,optimal_solutions,optimal_rate_among_solved,mean_solution_gap,mean_nodes_expanded,mean_runtime_seconds,median_runtime_seconds,operator_count,tree_depth,prefix_expression,infix_expression,quality_rank,node_efficiency_rank,runtime_rank,complexity_rank,generated_rank,performance_score,overall_rank,generated_score
h_admissible,Original,,40,40,1.0,0,0,40,1.0,0.0,2091.9,0.1933937274998243,0.15166320000207634,,,,,1,10,9,,,0.8234129899357727,1,
h1,Original,,40,40,1.0,0,0,40,1.0,0.0,2332.025,0.19957296999982646,0.15914264999810257,,,,,1,11,10,,,0.8079276739522028,2,
h4,Original,,40,40,1.0,0,0,33,0.825,0.013556538315809415,1619.925,0.16720286500003567,0.12916660000337288,,,,,3,8,8,,,0.8656302929750312,3,
h5,Original,,40,40,1.0,0,0,29,0.725,0.01932552217494368,1612.1,0.1603745025000535,0.12260760000208393,,,,,4,7,7,,,0.8677163942569854,4,
GEP_3,GEP,,40,40,1.0,0,0,26,0.65,0.021238530167279925,1553.325,0.09547772750065633,0.061275650001334725,3,4,(+ B (+ S (+ B B))),(B + (S + (B + B))),5,6,5,3,1,0.9261352854336823,5,0.933521756890314
GP_3,GP,,40,40,1.0,0,0,25,0.625,0.02440882002235239,1511.25,0.09451743499957957,0.06485515000167652,7,6,(+ (+ S B) (+ (+ B (min (abs K) (min S B))) B)),"((S + B) + ((B + min(abs(K), min(S, B))) + B))",6,3,6,6,2,0.9245052424609628,6,0.8749118610720094
h2,Original,,40,40,1.0,0,0,21,0.525,0.03218062836218026,1927.75,0.21630593999925624,0.16147934999753488,,,,,7,9,11,,,0.8242033123335053,7,
GP_2,GP,,40,40,1.0,0,0,5,0.125,0.13520857081209134,1370.775,0.08570426499973109,0.05135059999520308,5,6,(* (* (* (* (* V S) B) S) S) S),(((((V * S) * B) * S) * S) * S),8,1,4,5,3,0.9453260378944263,8,0.9107934341049837
GP_1,GP,,40,40,1.0,0,0,5,0.125,0.13520857081209134,1373.025,0.08655377499944734,0.046801200001937104,3,4,(* (* (* V S) B) S),(((V * S) * B) * S),8,2,3,1,4,0.9571590915850046,9,0.9614431824265041
GEP_1,GEP,,40,40,1.0,0,0,3,0.075,0.1797550290626076,1543.95,0.09444964499944035,0.042827150002267445,4,4,(* (* (* S V) (* C V)) S),(((S * V) * (C * V)) * S),10,4,1,4,5,0.9394756782240219,10,0.9205281104016196
GEP_2,GEP,,40,40,1.0,0,0,3,0.075,0.1797550290626076,1544.075,0.09514491000027192,0.04623774999708985,3,4,(* S (* (* V C) S)),(S * ((V * C) * S)),10,5,2,2,6,0.9283969673898546,11,0.9355572706508691
